Name,URL,Fact and Bias
  villagevoice  ,villagevoice.com,Fact: HIGH Bias:  left
 insideclimatenews  ,insideclimatenews.org,Fact: HIGH Bias:  left-center
  fury  ,fury.news,Fact: LOW Bias:  extreme-right
 now8news  ,now8news.com,Fact: LOW Bias:  center
 constitution  ,constitution.com,Fact: LOW Bias:  extreme-right
 freebeacon  ,freebeacon.com,Fact: MIXED Bias:  right
 brexitcentral ,brexitcentral.com,Fact: MIXED Bias:  right
 foreignpolicynews ,foreignpolicynews.org,Fact: MIXED Bias:  left
 patriotpost  ,patriotpost.us,Fact: MIXED Bias:  right
 loser ,loser.com,Fact: LOW Bias:  extreme-left
  empiresports  ,empiresports.co,Fact: LOW Bias:  center
  emirates247  ,emirates247.com,Fact: HIGH Bias:  left-center
 samuel-warde  ,samuel-warde.com,Fact: MIXED Bias:  left
  trueactivist  ,trueactivist.com,Fact: LOW Bias:  extreme-left
 popularresistance  ,popularresistance.org,Fact: MIXED Bias:  left
  thebeaverton  ,thebeaverton.com,Fact: LOW Bias:  center
 nationalreport  ,nationalreport.net,Fact: LOW Bias:  center
 politicalmayhem ,politicalmayhem.news,Fact: LOW Bias:  extreme-right
  itv  news ,itv.com-news,Fact: HIGH Bias:  right-center
  breitbart  ,breitbart.com,Fact: MIXED Bias:  right
  forwardprogressives  ,forwardprogressives.com,Fact: HIGH Bias:  left
 triggerreset ,triggerreset.net,Fact: LOW Bias:  extreme-right
  theatlantic  ,theatlantic.com,Fact: HIGH Bias:  left-center
  dcclothesline  ,dcclothesline.com,Fact: LOW Bias:  extreme-right
 liberaldarkness  ,liberaldarkness.com,Fact: LOW Bias:  center
 leftoverrights  ,leftoverrights.com,Fact: MIXED Bias:  left
 inthesetimes  ,inthesetimes.com,Fact: HIGH Bias:  left
  tampabay  ,tampabay.com,Fact: HIGH Bias:  left-center
 france24-tv  ,france24-tv.com,Fact: LOW Bias:  extreme-right
 freewestmedia  ,freewestmedia.com,Fact: MIXED Bias:  right
 theguardiansofdemocracy  ,theguardiansofdemocracy.com,Fact: HIGH Bias:  left
  darientimes  ,darientimes.com,Fact: HIGH Bias:  left-center
  conservativeoutfitters  blogs news,conservativeoutfitters.com-blogs-news,Fact: MIXED Bias:  right
  republicworld  ,republicworld.com,Fact: MIXED Bias:  left-center
  timesheadline ,timesheadline.com,Fact: MIXED Bias:  left-center
  amazingnews  ,amazingnews.net,Fact: LOW Bias:  extreme-right
  thestar  ,thestar.com,Fact: HIGH Bias:  left-center
 aceflashman   ,aceflashman.wordpress.com,Fact: LOW Bias:  center
  hoax-slayer  ,hoax-slayer.com,Fact: HIGH Bias:  center
 home.nra  ,home.nra.org,Fact: MIXED Bias:  right
 americanbridgepac  ,americanbridgepac.org,Fact: MIXED Bias:  left
  orlandosentinel  ,orlandosentinel.com,Fact: HIGH Bias:  right-center
  voanews  ,voanews.com,Fact: HIGH Bias:  center
 newsandstoriesfromusa  ,newsandstoriesfromusa.com,Fact: LOW Bias:  extreme-right
 offendedamerica  ,offendedamerica.com,Fact: MIXED Bias:  right
  calgarysun  ,calgarysun.com,Fact: HIGH Bias:  right-center
 southafricatoday ,southafricatoday.net,Fact: LOW Bias:  right
 blackpigeonspeaks  ,blackpigeonspeaks.com,Fact: LOW Bias:  extreme-right
  churchmilitant  ,churchmilitant.com,Fact: MIXED Bias:  right
  liberalamerica  ,liberalamerica.org,Fact: MIXED Bias:  left
  newscientist  ,newscientist.com,Fact: HIGH Bias:  center
  theskimm  ,theskimm.com,Fact: HIGH Bias:  center
 iowastartingline ,iowastartingline.com,Fact: HIGH Bias:  left
 deepleftfield fo ,deepleftfield.info,Fact: MIXED Bias:  left
  burrardstreetjournal  ,burrardstreetjournal.com,Fact: LOW Bias:  center
  who t en ,who.int-en,Fact: HIGH Bias:  center
  propublica  ,propublica.org,Fact: HIGH Bias:  left-center
 yellowhammernews  ,yellowhammernews.com,Fact: HIGH Bias:  right
 news.groopspeak  ,news.groopspeak.com,Fact: MIXED Bias:  left
  fairvote  ,fairvote.org,Fact: HIGH Bias:  left-center
  intellectualtakeout  ,intellectualtakeout.org,Fact: MIXED Bias:  right
 conservativefighters  ,conservativefighters.com,Fact: LOW Bias:  extreme-right
 oilprice  ,oilprice.com,Fact: HIGH Bias:  right-center
  the-american-interest  ,the-american-interest.com,Fact: HIGH Bias:  right-center
 gawken  ,gawken.com,Fact: LOW Bias:  center
 bigleaguepolitics  ,bigleaguepolitics.com,Fact: MIXED Bias:  right
  azcentral  ,azcentral.com,Fact: HIGH Bias:  right-center
  leftsideofhistory  ,leftsideofhistory.com,Fact: MIXED Bias:  left
 reagancoalition  ,reagancoalition.com,Fact: LOW Bias:  extreme-right
 monthlyreview  ,monthlyreview.org,Fact: HIGH Bias:  left-center
 newswars  ,newswars.com,Fact: LOW Bias:  extreme-right
  progressive  ,progressive.org,Fact: HIGH Bias:  left
  oathkeepers ,oathkeepers.org,Fact: LOW Bias:  extreme-right
  anthropocenemagazine  ,anthropocenemagazine.org,Fact: HIGH Bias:  center
  atlbanana  ,atlbanana.com,Fact: LOW Bias:  center
  salon  ,salon.com,Fact: HIGH Bias:  left
  bluestemprairie  ,bluestemprairie.com,Fact: HIGH Bias:  left-center
 brokenworldnews  ,brokenworldnews.com,Fact: LOW Bias:  center
  atimes  ,atimes.com,Fact: HIGH Bias:  center
  patriotfires  ,patriotfires.com,Fact: LOW Bias:  extreme-right
  allgov ,allgov.com,Fact: HIGH Bias:  center
  thegoldwater  ,thegoldwater.com,Fact: LOW Bias:  extreme-right
 lynx.media ,lynx.media,Fact: MIXED Bias:  right-center
 resistancereport  ,resistancereport.com,Fact: LOW Bias:  extreme-left
 democraticreview  ,democraticreview.com,Fact: LOW Bias:  extreme-left
  medicaldaily  ,medicaldaily.com,Fact: HIGH Bias:  center
 americannewsx  ,americannewsx.com,Fact: MIXED Bias:  left
  ibtimes  ,ibtimes.com,Fact: MIXED Bias:  left-center
  japantimes .jp ,japantimes.co.jp,Fact: HIGH Bias:  center
  chicksontheright  ,chicksontheright.com,Fact: MIXED Bias:  right
  foreignpolicyjournal ,foreignpolicyjournal.com,Fact: HIGH Bias:  left
  quantamagazine  ,quantamagazine.org,Fact: HIGH Bias:  center
  buzzfeed  ,buzzfeed.com,Fact: MIXED Bias:  left-center
 harvardpolitics  ,harvardpolitics.com,Fact: HIGH Bias:  center
 newsuptoday  ,newsuptoday.com,Fact: LOW Bias:  extreme-right
 sciencetrends ,sciencetrends.com,Fact: HIGH Bias:  center
 viralcords  ,viralcords.com,Fact: LOW Bias:  center
  climatecentral  ,climatecentral.org,Fact: HIGH Bias:  center
 siouxcityjournal  ,siouxcityjournal.com,Fact: HIGH Bias:  center
  commentarymagazine  ,commentarymagazine.com,Fact: HIGH Bias:  right
  themaven  beingliberal,themaven.net-beingliberal,Fact: MIXED Bias:  left
  cpj  ,cpj.org,Fact: HIGH Bias:  center
  adelaidenow   ,adelaidenow.com.au,Fact: MIXED Bias:  right
  epi  ,epi.org,Fact: HIGH Bias:  left-center
  atlanticmedia  ,atlanticmedia.com,Fact: HIGH Bias:  left-center
  bangkokpost  ,bangkokpost.com,Fact: HIGH Bias:  center
 bigamericannews  ,bigamericannews.com,Fact: LOW Bias:  center
  psypost  ,psypost.org,Fact: HIGH Bias:  center
  beliefnet ,beliefnet.com,Fact: MIXED Bias:  right
 placesjournal  ,placesjournal.org,Fact: HIGH Bias:  center
  politicalgarbagechute  ,politicalgarbagechute.com,Fact: LOW Bias:  center
