source_url,source_url_processed,URL,fact,bias,,,,
  villagevoice  ,villagevoice.com, mediabiasfactcheck.com the-village-voice ,HIGH,left,,,,
 insideclimatenews  ,insideclimatenews.org, mediabiasfactcheck.com insideclimate-news ,HIGH,left-center,,,,
  fury  ,fury.news, mediabiasfactcheck.com fury-news ,LOW,extreme-right,,,,
 now8news  ,now8news.com, mediabiasfactcheck.com now8news ,LOW,center,,,,
 constitution  ,constitution.com, mediabiasfactcheck.com the-constitution ,LOW,extreme-right,,,,
 freebeacon  ,freebeacon.com, mediabiasfactcheck.com washington-free-beacon ,MIXED,right,,,,
 brexitcentral ,brexitcentral.com, mediabiasfactcheck.com brexitcentral ,MIXED,right,,,,
 foreignpolicynews ,foreignpolicynews.org, mediabiasfactcheck.com foreign-policy-news ,MIXED,left,,,,
 patriotpost  ,patriotpost.us, mediabiasfactcheck.com the-patriot-post ,MIXED,right,,,,
 loser ,loser.com, mediabiasfactcheck.com loser-com ,LOW,extreme-left,,,,
  empiresports  ,empiresports.co, mediabiasfactcheck.com empire-sports-news ,LOW,center,,,,
  emirates247  ,emirates247.com, mediabiasfactcheck.com emirates-247 ,HIGH,left-center,,,,
 samuel-warde  ,samuel-warde.com, mediabiasfactcheck.com liberals-unite-samuel-warde ,MIXED,left,,,,
  trueactivist  ,trueactivist.com, mediabiasfactcheck.com true-activist ,LOW,extreme-left,,,,
 popularresistance  ,popularresistance.org, mediabiasfactcheck.com popular-resistance ,MIXED,left,,,,
  thebeaverton  ,thebeaverton.com, mediabiasfactcheck.com the-beaverton ,LOW,center,,,,
 nationalreport  ,nationalreport.net, mediabiasfactcheck.com national-report ,LOW,center,,,,
 politicalmayhem ,politicalmayhem.news, mediabiasfactcheck.com political-mayhem-news ,LOW,extreme-right,,,,
  itv  news ,itv.com-news, mediabiasfactcheck.com itv-news ,HIGH,right-center,,,,
  breitbart  ,breitbart.com, mediabiasfactcheck.com breitbart ,MIXED,right,,,,
  forwardprogressives  ,forwardprogressives.com, mediabiasfactcheck.com forward-progressives ,HIGH,left,,,,
 triggerreset ,triggerreset.net, mediabiasfactcheck.com triggerreset ,LOW,extreme-right,,,,
  theatlantic  ,theatlantic.com, mediabiasfactcheck.com the-atlantic ,HIGH,left-center,,,,
  dcclothesline  ,dcclothesline.com, mediabiasfactcheck.com the-d-c-clothesline ,LOW,extreme-right,,,,
 liberaldarkness  ,liberaldarkness.com, mediabiasfactcheck.com liberal-darkness ,LOW,center,,,,
 leftoverrights  ,leftoverrights.com, mediabiasfactcheck.com left-over-rights ,MIXED,left,,,,
 inthesetimes  ,inthesetimes.com, mediabiasfactcheck.com in-these-times ,HIGH,left,,,,
  tampabay  ,tampabay.com, mediabiasfactcheck.com tampa-bay-times ,HIGH,left-center,,,,
 france24-tv  ,france24-tv.com, mediabiasfactcheck.com france24-tv-com ,LOW,extreme-right,,,,
 freewestmedia  ,freewestmedia.com, mediabiasfactcheck.com free-west-media ,MIXED,right,,,,
 theguardiansofdemocracy  ,theguardiansofdemocracy.com, mediabiasfactcheck.com guardians-of-democracy ,HIGH,left,,,,
  darientimes  ,darientimes.com, mediabiasfactcheck.com darien-times ,HIGH,left-center,,,,
  conservativeoutfitters  blogs news,conservativeoutfitters.com-blogs-news, mediabiasfactcheck.com conservative-outfitters ,MIXED,right,,,,
  republicworld  ,republicworld.com, mediabiasfactcheck.com republic-world ,MIXED,left-center,,,,
  timesheadline ,timesheadline.com, mediabiasfactcheck.com times-headline ,MIXED,left-center,,,,
  amazingnews  ,amazingnews.net, mediabiasfactcheck.com amazingnews-net ,LOW,extreme-right,,,,
  thestar  ,thestar.com, mediabiasfactcheck.com toronto-star ,HIGH,left-center,,,,
 aceflashman   ,aceflashman.wordpress.com, mediabiasfactcheck.com ace-flashman ,LOW,center,,,,
  hoax-slayer  ,hoax-slayer.com, mediabiasfactcheck.com hoax-slayer ,HIGH,center,,,,
 home.nra  ,home.nra.org, mediabiasfactcheck.com national-rifle-association-nra ,MIXED,right,,,,
 americanbridgepac  ,americanbridgepac.org, mediabiasfactcheck.com american-bridge-21st-century ,MIXED,left,,,,
  orlandosentinel  ,orlandosentinel.com, mediabiasfactcheck.com orlando-sentinel ,HIGH,right-center,,,,
  voanews  ,voanews.com, mediabiasfactcheck.com voice-of-america ,HIGH,center,,,,
 newsandstoriesfromusa  ,newsandstoriesfromusa.com, mediabiasfactcheck.com news-stories-usa ,LOW,extreme-right,,,,
 offendedamerica  ,offendedamerica.com, mediabiasfactcheck.com offended-america ,MIXED,right,,,,
  calgarysun  ,calgarysun.com, mediabiasfactcheck.com calgary-sun ,HIGH,right-center,,,,
 southafricatoday ,southafricatoday.net, mediabiasfactcheck.com south-africa-today ,LOW,right,,,,
 blackpigeonspeaks  ,blackpigeonspeaks.com, mediabiasfactcheck.com black-pigeon-speaks ,LOW,extreme-right,,,,
  churchmilitant  ,churchmilitant.com, mediabiasfactcheck.com church-militant ,MIXED,right,,,,
  liberalamerica  ,liberalamerica.org, mediabiasfactcheck.com liberal-america ,MIXED,left,,,,
  newscientist  ,newscientist.com, mediabiasfactcheck.com new-scientist ,HIGH,center,,,,
  theskimm  ,theskimm.com, mediabiasfactcheck.com the-skimm ,HIGH,center,,,,
 iowastartingline ,iowastartingline.com, mediabiasfactcheck.com iowa-starting-line ,HIGH,left,,,,
 deepleftfield fo ,deepleftfield.info, mediabiasfactcheck.com deep-left-field ,MIXED,left,,,,
  burrardstreetjournal  ,burrardstreetjournal.com, mediabiasfactcheck.com burrard-street-journal ,LOW,center,,,,
  who t en ,who.int-en, mediabiasfactcheck.com world-health-organization-who ,HIGH,center,,,,
  propublica  ,propublica.org, mediabiasfactcheck.com propublica ,HIGH,left-center,,,,
 yellowhammernews  ,yellowhammernews.com, mediabiasfactcheck.com yellowhammer-news ,HIGH,right,,,,
 news.groopspeak  ,news.groopspeak.com, mediabiasfactcheck.com groopspeak ,MIXED,left,,,,
  fairvote  ,fairvote.org, mediabiasfactcheck.com fairvote ,HIGH,left-center,,,,
  intellectualtakeout  ,intellectualtakeout.org, mediabiasfactcheck.com intellectual-takeout ,MIXED,right,,,,
 conservativefighters  ,conservativefighters.com, mediabiasfactcheck.com conservative-fighters ,LOW,extreme-right,,,,
 oilprice  ,oilprice.com, mediabiasfactcheck.com oil-price ,HIGH,right-center,,,,
  the-american-interest  ,the-american-interest.com, mediabiasfactcheck.com the-american-interest ,HIGH,right-center,,,,
 gawken  ,gawken.com, mediabiasfactcheck.com gawken ,LOW,center,,,,
 bigleaguepolitics  ,bigleaguepolitics.com, mediabiasfactcheck.com big-league-politics ,MIXED,right,,,,
  azcentral  ,azcentral.com, mediabiasfactcheck.com arizona-republic ,HIGH,right-center,,,,
  leftsideofhistory  ,leftsideofhistory.com, mediabiasfactcheck.com left-side-of-history ,MIXED,left,,,,
 reagancoalition  ,reagancoalition.com, mediabiasfactcheck.com reagan-coalition ,LOW,extreme-right,,,,
 monthlyreview  ,monthlyreview.org, mediabiasfactcheck.com monthly-review ,HIGH,left-center,,,,
 newswars  ,newswars.com, mediabiasfactcheck.com newswars ,LOW,extreme-right,,,,
  progressive  ,progressive.org, mediabiasfactcheck.com the-progressive ,HIGH,left,,,,
  oathkeepers ,oathkeepers.org, mediabiasfactcheck.com oath-keepers ,LOW,extreme-right,,,,
  anthropocenemagazine  ,anthropocenemagazine.org, mediabiasfactcheck.com conservation-magazine ,HIGH,center,,,,
  atlbanana  ,atlbanana.com, mediabiasfactcheck.com the-atlanta-banana ,LOW,center,,,,
  salon  ,salon.com, mediabiasfactcheck.com salon ,HIGH,left,,,,
  bluestemprairie  ,bluestemprairie.com, mediabiasfactcheck.com bluestem-prairie ,HIGH,left-center,,,,
 brokenworldnews  ,brokenworldnews.com, mediabiasfactcheck.com broken-world-news ,LOW,center,,,,
  atimes  ,atimes.com, mediabiasfactcheck.com asia-times ,HIGH,center,,,,
  patriotfires  ,patriotfires.com, mediabiasfactcheck.com patriot-fires ,LOW,extreme-right,,,,
  allgov ,allgov.com, mediabiasfactcheck.com allgov ,HIGH,center,,,,
  thegoldwater  ,thegoldwater.com, mediabiasfactcheck.com the-goldwater ,LOW,extreme-right,,,,
 lynx.media ,lynx.media, mediabiasfactcheck.com lynx-media ,MIXED,right-center,,,,
